tweetid,emojis,emoji_id,count,group,unicode,n,name,e_id
90,ICE-SKATE,285,1,Activity,26f8,1,Ice Skate,87
91,TWO-HEARTS,288,1,Symbol,1f495,1,Two Hearts,187
92,RAINBOW,289,1,Symbol,1f308,1,Rainbow,140
93,FIRE-ENGINE,292,1,Symbol,1f692,1,Fire Engine,58
93,WOMAN-DANCING,294,1,Activity,1f483,1,Woman Dancing,196
94,AIRPLANE-DEPARTURE,295,1,Transport,1f6eb,1,Airplane Departure,1
95,FLEUR-DE-LIS,299,1,Symbol,269c,1,Fleur De Lis,62
95,SAXOPHONE,301,1,Activity,1f3b7,1,Saxophone,147
96,HEART-SUIT,304,1,Symbol,2665,1,Heart Suit,78
97,SKIS,307,1,Activity,1f3bf,1,Skis,157
98,FLAG-IN-HOLE,310,1,Activity,26f3,1,Flag In Hole,61
99,SNOW-CAPPED-MOUNTAIN,312,1,Scene,1f3d4,1,Snow Capped Mountain,164
99,NORWAY,313,1,Country,1f1f3-1f1f4,1,Norway,118
101,SMILING-FACE-WITH-HEART-EYES,317,1,Face,1f60d,1,Smiling Face With Heart Eyes,162
101,NERD-FACE,318,1,Face,1f913,1,Nerd Face,115
101,FLUSHED-FACE,319,1,Face,1f633,1,Flushed Face,63
103,OPEN-BOOK,323,1,Activity,1f4d6,1,Open Book,122
103,CROISSANT,324,1,Food,1f950,1,Croissant,35
103,SLEEPING-FACE,325,1,Activity,1f634,1,Sleeping Face,159
