group,subgroup,emojis,name,unicode,nn
Symbol,,SEE-NO-EVIL-MONKEY,See No Evil Monkey,1f648,1
Symbol,,SHAMROCK,Shamrock,2618,1
Symbol,,SKULL,Skull,1f480,4
Symbol,,SNOWFLAKE,Snowflake,2744,1
Symbol,,SPARKLES,Sparkles,2728,1
Symbol,,SPEAK-NO-EVIL-MONKEY,Speak No Evil Monkey,1f64a,1
Scene,Landmark,STATUE-OF-LIBERTY,Statue Of Liberty,1f5fd,1
Symbol,,SUN-WITH-FACE,Sun With Face,1f31e,3
Symbol,,SUNFLOWER,Sunflower,1f33b,1
Symbol,,SUNGLASSES,Sunglasses,1f576,1
Scene,Nature,TENT,Tent,26fa,1
Symbol,,TROPHY,Trophy,1f3c6,4
Symbol,,TWO-HEARTS,Two Hearts,1f495,1
Symbol,,VICTORY-HAND,Victory Hand,270c,1
Symbol,,WORLD-MAP,World Map,1f5fa,1
Transport,Air,AIRPLANE,Airplane,2708,3
Transport,Air,AIRPLANE-DEPARTURE,Airplane Departure,1f6eb,1
Transport,Land,AUTOMOBILE,Automobile,1f697,1
Transport,Land,BICYCLE,Bicycle,1f6b2,1
Transport,Air,HELICOPTER,Helicopter,1f681,2
Transport,Land,HIGH-SPEED-TRAIN,High Speed Train,1f684,1
Transport,Land,HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,High Speed Train With Bullet Nose,1f685,2
Transport,Land,LOCOMOTIVE,Locomotive,1f682,1
Transport,Sea,MOTOR-BOAT,Motor Boat,1f6e5,2
Transport,Sea,PASSENGER-SHIP,Passenger Ship,1f6f3,1
Transport,Land,PERSON-BIKING,Person Biking,1f6b4,2
Transport,Land,RAILWAY-TRACK,Railway Track,1f6e4,3
Transport,Sea,SHIP,Ship,1f6a2,1
